Cu1,Mn1,Ni1,Zn1,Cu2,Mn2,Ni2,Zn2,Cu3,Mn3,Ni3,Zn3,E_ads
0,2,0,0,1,0,1,0,0,1,0,0,-1.377127
0,2,0,0,2,0,0,0,0,0,0,1,-1.315567
0,2,0,0,0,0,2,0,0,1,0,0,-1.422807
0,2,0,0,0,1,1,0,1,0,0,0,-1.304347
1,1,0,0,0,2,0,0,1,0,0,0,-1.122667
1,1,0,0,0,2,0,0,0,1,0,0,-0.797267
1,1,0,0,0,0,2,0,0,1,0,0,-1.189987
1,1,0,0,0,1,1,0,0,1,0,0,-0.983787
0,1,1,0,0,1,0,1,0,0,0,1,-0.986317
0,1,1,0,1,0,0,1,0,0,0,1,-1.098507
0,1,1,0,0,2,0,0,0,0,0,1,-0.895207
0,1,1,0,2,0,0,0,0,0,0,1,-1.177917
0,1,0,1,0,0,0,2,0,1,0,0,-0.954887
0,1,0,1,0,0,1,1,0,0,1,0,-1.106507
0,1,0,1,0,0,1,1,1,0,0,0,-1.026877
0,1,0,1,1,0,0,1,0,1,0,0,-0.990857
2,0,0,0,0,0,1,1,0,1,0,0,-1.213767
2,0,0,0,0,2,0,0,0,0,1,0,-0.988117
2,0,0,0,0,2,0,0,0,0,0,1,-0.874537
2,0,0,0,2,0,0,0,0,0,0,1,-1.179417
1,0,1,0,1,0,0,1,0,1,0,0,-1.245267
1,0,1,0,1,0,0,1,0,0,0,1,-1.258437
1,0,1,0,0,2,0,0,0,1,0,0,-0.955317
1,0,1,0,0,2,0,0,0,0,1,0,-1.238317
1,0,0,1,1,0,1,0,0,0,1,0,-1.391027
1,0,0,1,1,1,0,0,0,0,0,1,-1.031957
1,0,0,1,1,0,1,0,0,0,0,1,-1.211917
1,0,0,1,0,0,2,0,1,0,0,0,-1.384937
0,0,2,0,2,0,0,0,0,0,0,1,-1.419707
0,0,2,0,1,0,1,0,0,0,1,0,-1.689807
0,0,2,0,0,0,2,0,0,1,0,0,-1.532177
0,0,2,0,1,1,0,0,1,0,0,0,-1.361897
0,0,1,1,1,0,1,0,0,0,1,0,-1.475417
0,0,1,1,2,0,0,0,0,0,1,0,-1.387897
0,0,1,1,0,1,0,1,0,0,0,1,-1.034087
0,0,1,1,1,0,0,1,0,1,0,0,-1.145417
0,0,0,2,0,0,2,0,1,0,0,0,-1.273347
0,0,0,2,0,0,2,0,0,1,0,0,-1.201907
0,0,0,2,0,1,1,0,0,1,0,0,-0.991357
0,0,0,2,1,0,1,0,0,1,0,0,-1.116427
