Cu1,Mn1,Ni1,Zn1,Cu2,Mn2,Ni2,Zn2,Cu3,Mn3,Ni3,Zn3,E_ads
0,3,0,0,0,0,1,2,0,0,0,1,-0.656836
0,3,0,0,0,0,2,1,0,0,1,0,-0.813326
0,3,0,0,0,1,2,0,0,1,0,0,-0.712926
0,3,0,0,1,1,0,1,1,0,0,0,-0.585276
1,2,0,0,2,0,1,0,1,0,0,0,-0.849326
1,2,0,0,1,0,1,1,0,1,0,0,-0.761836
1,2,0,0,2,1,0,0,0,1,0,0,-0.680816
1,2,0,0,3,0,0,0,0,0,0,1,-0.722906
0,2,1,0,1,0,0,2,0,0,0,1,-0.747446
0,2,1,0,0,2,1,0,0,0,1,0,-0.786706
0,2,1,0,1,0,1,1,0,1,0,0,-0.796526
0,2,1,0,1,0,0,2,1,0,0,0,-0.709446
0,2,0,1,2,0,1,0,0,0,0,1,-0.724176
0,2,0,1,0,1,2,0,0,0,0,1,-0.713966
0,2,0,1,0,2,0,1,0,1,0,0,-0.564716
0,2,0,1,0,0,3,0,0,0,1,0,-1.011916
2,1,0,0,0,0,3,0,0,0,0,1,-1.042176
2,1,0,0,0,0,1,2,0,0,1,0,-1.076686
2,1,0,0,1,1,0,1,0,1,0,0,-0.677426
2,1,0,0,0,0,0,3,0,1,0,0,-0.747006
1,1,1,0,1,2,0,0,1,0,0,0,-0.742156
1,1,1,0,0,2,0,1,0,1,0,0,-0.677386
1,1,1,0,0,1,1,1,0,0,0,1,-0.763766
1,1,1,0,0,3,0,0,0,1,0,0,-0.667046
1,1,0,1,2,1,0,0,0,0,0,1,-0.707696
1,1,0,1,0,0,1,2,0,1,0,0,-0.754846
1,1,0,1,0,0,1,2,1,0,0,0,-0.770766
1,1,0,1,1,1,1,0,0,0,1,0,-0.832176
0,1,2,0,2,0,0,1,0,0,0,1,-0.871276
0,1,2,0,0,0,1,2,0,1,0,0,-0.886356
0,1,2,0,1,0,2,0,0,0,0,1,-1.112306
0,1,2,0,2,0,1,0,0,0,0,1,-1.033056
0,1,1,1,0,1,0,2,1,0,0,0,-0.718996
0,1,1,1,1,0,1,1,0,1,0,0,-0.825316
0,1,1,1,0,2,1,0,0,1,0,0,-0.718436
0,1,1,1,0,1,1,1,1,0,0,0,-0.767056
0,1,0,2,0,0,3,0,1,0,0,0,-0.968136
0,1,0,2,3,0,0,0,0,0,1,0,-0.753196
0,1,0,2,1,0,0,2,1,0,0,0,-0.750616
0,1,0,2,1,1,0,1,0,0,0,1,-0.704516
3,0,0,0,0,3,0,0,1,0,0,0,-0.653096
3,0,0,0,1,2,0,0,1,0,0,0,-0.722856
3,0,0,0,2,0,1,0,1,0,0,0,-1.031856
3,0,0,0,1,2,0,0,0,0,1,0,-0.813736
2,0,1,0,2,1,0,0,0,0,1,0,-1.026746
2,0,1,0,1,0,2,0,0,1,0,0,-1.055786
2,0,1,0,0,3,0,0,1,0,0,0,-0.713116
2,0,1,0,1,1,1,0,1,0,0,0,-1.005816
2,0,0,1,1,0,0,2,0,0,1,0,-0.794626
2,0,0,1,0,1,1,1,0,0,1,0,-0.835956
2,0,0,1,0,3,0,0,1,0,0,0,-0.627696
2,0,0,1,0,2,0,1,0,0,0,1,-0.724106
1,0,2,0,1,0,2,0,0,0,1,0,-1.336516
1,0,2,0,0,1,0,2,0,0,0,1,-0.778296
1,0,2,0,0,0,0,3,1,0,0,0,-0.876836
1,0,2,0,2,0,0,1,1,0,0,0,-1.047136
1,0,1,1,2,0,0,1,0,1,0,0,-0.767226
1,0,1,1,1,0,2,0,1,0,0,0,-1.128246
1,0,1,1,1,2,0,0,0,0,0,1,-0.722926
1,0,1,1,1,0,1,1,0,0,0,1,-0.872626
1,0,0,2,3,0,0,0,1,0,0,0,-0.822896
1,0,0,2,1,2,0,0,0,0,1,0,-0.703566
1,0,0,2,0,0,2,1,1,0,0,0,-0.871986
1,0,0,2,0,1,2,0,0,0,1,0,-0.906136
0,0,3,0,1,2,0,0,1,0,0,0,-1.014266
0,0,3,0,1,2,0,0,0,0,0,1,-0.897236
0,0,3,0,0,0,0,3,0,1,0,0,-0.843426
0,0,3,0,0,0,2,1,0,0,0,1,-1.183796
0,0,2,1,0,0,1,2,0,0,1,0,-1.080956
0,0,2,1,2,0,1,0,1,0,0,0,-1.133096
0,0,2,1,1,0,2,0,1,0,0,0,-1.220246
0,0,2,1,0,1,1,1,0,1,0,0,-0.845996
0,0,1,2,0,1,2,0,0,0,1,0,-1.008826
0,0,1,2,0,1,1,1,0,1,0,0,-0.742156
0,0,1,2,3,0,0,0,0,1,0,0,-0.765896
0,0,1,2,3,0,0,0,0,0,1,0,-0.987936
0,0,0,3,0,0,2,1,0,1,0,0,-0.768666
0,0,0,3,1,1,1,0,0,0,1,0,-0.746826
0,0,0,3,0,0,2,1,1,0,0,0,-0.802316
0,0,0,3,3,0,0,0,1,0,0,0,-0.812726
