Cu1,Mn1,Ni1,Zn1,Cu2,Mn2,Ni2,Zn2,Cu3,Mn3,Ni3,Zn3,E_ads
0,1,0,0,4,0,0,2,1,0,1,1,-2.139460
0,1,0,0,0,2,2,2,0,2,0,1,-2.437620
0,1,0,0,3,0,2,1,1,0,2,0,-2.343570
0,1,0,0,0,0,3,3,0,1,2,0,-2.354800
0,1,0,0,2,2,1,1,0,0,3,0,-2.524010
0,1,0,0,1,0,4,1,1,2,0,0,-2.071490
0,1,0,0,2,0,1,3,1,2,0,0,-2.197130
0,1,0,0,0,4,0,2,1,1,1,0,-2.335430
0,1,0,0,5,1,0,0,0,1,0,2,-2.192060
0,1,0,0,0,3,0,3,0,0,1,2,-2.780370
0,1,0,0,0,3,1,2,2,0,1,0,-2.696370
0,1,0,0,2,1,0,3,2,1,0,0,-2.473480
0,1,0,0,0,1,3,2,2,1,0,0,-2.350850
0,1,0,0,1,1,0,4,1,0,2,0,-2.446670
0,1,0,0,2,0,4,0,2,0,0,1,-2.145000
0,1,0,0,6,0,0,0,0,0,0,3,-2.123020
0,1,0,0,1,4,1,0,0,0,1,2,-2.798980
0,1,0,0,3,1,1,1,2,0,0,1,-2.135630
0,1,0,0,0,2,3,1,0,0,0,3,-2.350890
0,1,0,0,1,2,3,0,2,0,1,0,-2.352410
1,0,0,0,0,2,0,4,0,0,1,2,-1.190070
1,0,0,0,1,1,1,3,1,1,0,1,-1.099120
1,0,0,0,0,1,0,5,1,1,1,0,-1.282460
1,0,0,0,0,0,0,6,1,0,0,2,-1.339270
1,0,0,0,0,4,0,2,0,1,1,1,-1.012320
1,0,0,0,0,5,1,0,0,2,1,0,-1.145900
1,0,0,0,1,5,0,0,0,1,0,2,-0.917820
1,0,0,0,4,0,2,0,3,0,0,0,-1.661710
1,0,0,0,1,1,2,2,0,2,1,0,-1.389190
1,0,0,0,0,3,1,2,1,2,0,0,-1.121690
1,0,0,0,3,0,0,3,0,2,0,1,-1.301890
1,0,0,0,2,1,1,2,0,1,0,2,-1.189120
1,0,0,0,1,2,1,2,0,3,0,0,-1.285870
1,0,0,0,1,2,3,0,1,1,0,1,-1.289170
1,0,0,0,0,1,0,5,0,1,0,2,-1.183050
1,0,0,0,3,0,0,3,1,1,0,1,-1.341410
1,0,0,0,1,3,0,2,2,0,1,0,-1.192310
1,0,0,0,4,1,0,1,0,1,2,0,-1.482820
1,0,0,0,3,3,0,0,2,1,0,0,-1.245710
1,0,0,0,2,0,0,4,0,2,0,1,-1.318650
0,0,1,0,1,2,3,0,0,1,1,1,-2.359150
0,0,1,0,1,1,3,1,1,2,0,0,-2.209320
0,0,1,0,0,1,4,1,0,2,1,0,-2.433160
0,0,1,0,0,5,0,1,0,0,0,3,-1.753530
0,0,1,0,2,0,0,4,0,2,0,1,-2.025840
0,0,1,0,3,2,1,0,0,0,0,3,-2.098780
0,0,1,0,0,4,0,2,0,0,0,3,-1.792590
0,0,1,0,4,0,1,1,1,1,1,0,-2.489790
0,0,1,0,1,1,2,2,0,0,0,3,-2.086750
0,0,1,0,1,0,0,5,0,0,1,2,-2.258190
0,0,1,0,0,2,1,3,1,1,1,0,-2.098670
0,0,1,0,1,2,3,0,0,2,0,1,-2.132410
0,0,1,0,1,0,4,1,3,0,0,0,-2.781050
0,0,1,0,1,0,4,1,1,0,2,0,-2.995890
0,0,1,0,5,1,0,0,1,0,0,2,-2.202600
0,0,1,0,0,0,2,4,1,1,0,1,-2.063370
0,0,1,0,1,3,0,2,1,0,1,1,-2.183540
0,0,1,0,3,2,1,0,2,0,0,1,-2.267520
0,0,1,0,2,3,0,1,0,0,3,0,-2.393890
0,0,1,0,0,2,0,4,0,0,1,2,-2.073370
0,0,0,1,5,0,0,1,1,0,2,0,-0.907790
0,0,0,1,3,2,0,1,0,0,2,1,-0.643490
0,0,0,1,2,0,1,3,0,0,0,3,-1.026100
0,0,0,1,0,1,3,2,0,1,0,2,-0.772190
0,0,0,1,0,1,4,1,0,1,1,1,-0.906170
0,0,0,1,2,1,0,3,0,0,2,1,-0.717190
0,0,0,1,0,0,6,0,1,1,1,0,-1.303240
0,0,0,1,0,3,1,2,0,1,0,2,-0.532610
0,0,0,1,1,1,0,4,0,0,0,3,-0.919920
0,0,0,1,0,5,1,0,0,0,2,1,-0.444440
0,0,0,1,1,3,0,2,0,1,1,1,-0.480380
0,0,0,1,1,0,5,0,1,0,0,2,-1.026720
0,0,0,1,2,2,2,0,1,1,0,1,-0.678370
0,0,0,1,2,4,0,0,0,2,0,1,-0.539820
0,0,0,1,3,0,1,2,0,0,1,2,-0.807760
0,0,0,1,0,2,4,0,1,0,2,0,-1.061130
0,0,0,1,2,3,0,1,2,0,0,1,-0.530630
0,0,0,1,0,1,2,3,0,2,0,1,-0.675790
0,0,0,1,0,4,1,1,0,1,1,1,-0.589380
0,0,0,1,4,1,0,1,1,2,0,0,-0.702400
