Cu1,Mn1,Ni1,Zn1,Cu2,Mn2,Ni2,Zn2,Cu3,Mn3,Ni3,Zn3,E_ads
0,2,0,0,1,0,1,0,0,1,0,0,-0.745988
0,2,0,0,2,0,0,0,0,0,0,1,-0.670578
0,2,0,0,0,0,2,0,0,1,0,0,-0.791468
0,2,0,0,0,1,1,0,1,0,0,0,-0.142728
1,1,0,0,0,2,0,0,1,0,0,0,-0.632718
1,1,0,0,0,2,0,0,0,1,0,0,-0.618988
1,1,0,0,0,0,2,0,0,1,0,0,-0.944478
1,1,0,0,0,1,1,0,0,1,0,0,-0.764368
0,1,1,0,0,1,0,1,0,0,0,1,-0.715668
0,1,1,0,1,0,0,1,0,0,0,1,0.089512
0,1,1,0,0,2,0,0,0,0,0,1,-0.652448
0,1,1,0,2,0,0,0,0,0,0,1,0.070652
0,1,0,1,0,0,0,2,0,1,0,0,-0.681368
0,1,0,1,0,0,1,1,0,0,1,0,-0.811888
0,1,0,1,0,0,1,1,1,0,0,0,-0.743908
0,1,0,1,1,0,0,1,0,1,0,0,-0.690408
2,0,0,0,0,0,1,1,0,1,0,0,-0.838318
2,0,0,0,0,2,0,0,0,0,1,0,-0.746548
2,0,0,0,0,2,0,0,0,0,0,1,-0.663798
2,0,0,0,2,0,0,0,0,0,0,1,-0.818088
1,0,1,0,1,0,0,1,0,1,0,0,-0.836888
1,0,1,0,1,0,0,1,0,0,0,1,-0.850768
1,0,1,0,0,2,0,0,0,1,0,0,-0.785538
1,0,1,0,0,2,0,0,0,0,1,0,-0.856278
1,0,0,1,1,0,1,0,0,0,1,0,-1.032558
1,0,0,1,1,1,0,0,0,0,0,1,-0.726768
1,0,0,1,1,0,1,0,0,0,0,1,-0.839158
1,0,0,1,0,0,2,0,1,0,0,0,-1.021298
0,0,2,0,2,0,0,0,0,0,0,1,-0.981088
0,0,2,0,1,0,1,0,0,0,1,0,-1.251028
0,0,2,0,0,0,2,0,0,1,0,0,-1.103518
0,0,2,0,1,1,0,0,1,0,0,0,-0.993468
0,0,1,1,1,0,1,0,0,0,1,0,-1.126328
0,0,1,1,2,0,0,0,0,0,1,0,-1.042128
0,0,1,1,0,1,0,1,0,0,0,1,-0.764828
0,0,1,1,1,0,0,1,0,1,0,0,-0.764018
0,0,0,2,0,0,2,0,1,0,0,0,-0.931788
0,0,0,2,0,0,2,0,0,1,0,0,-0.831478
0,0,0,2,0,1,1,0,0,1,0,0,-0.662478
0,0,0,2,1,0,1,0,0,1,0,0,-0.744998
