Cu1,Mn1,Ni1,Zn1,Cu2,Mn2,Ni2,Zn2,Cu3,Mn3,Ni3,Zn3,E_ads
0,2,0,0,1,0,1,0,0,1,0,0,-1.782606
0,2,0,0,2,0,0,0,0,0,0,1,-1.793396
0,2,0,0,0,0,2,0,0,1,0,0,-1.750776
0,2,0,0,0,1,1,0,1,0,0,0,-1.919026
1,1,0,0,0,2,0,0,1,0,0,0,-1.638596
1,1,0,0,0,2,0,0,0,1,0,0,-1.594036
1,1,0,0,0,0,2,0,0,1,0,0,-1.284316
1,1,0,0,0,1,1,0,0,1,0,0,-1.339936
0,1,1,0,0,1,0,1,0,0,0,1,-1.771656
0,1,1,0,1,0,0,1,0,0,0,1,-1.576876
0,1,1,0,0,2,0,0,0,0,0,1,-2.123816
0,1,1,0,2,0,0,0,0,0,0,1,-1.746456
0,1,0,1,0,0,0,2,0,1,0,0,-0.774436
0,1,0,1,0,0,1,1,0,0,1,0,-0.715026
0,1,0,1,0,0,1,1,1,0,0,0,-0.653766
0,1,0,1,1,0,0,1,0,1,0,0,-0.694206
2,0,0,0,0,0,1,1,0,1,0,0,-0.179506
2,0,0,0,0,2,0,0,0,0,1,0,-0.895946
2,0,0,0,0,2,0,0,0,0,0,1,-0.926686
2,0,0,0,2,0,0,0,0,0,0,1,-0.410006
1,0,1,0,1,0,0,1,0,1,0,0,-0.772476
1,0,1,0,1,0,0,1,0,0,0,1,-0.976766
1,0,1,0,0,2,0,0,0,1,0,0,-1.291346
1,0,1,0,0,2,0,0,0,0,1,0,-1.482596
1,0,0,1,1,0,1,0,0,0,1,0,-0.295016
1,0,0,1,1,1,0,0,0,0,0,1,-0.228256
1,0,0,1,1,0,1,0,0,0,0,1,-0.215256
1,0,0,1,0,0,2,0,1,0,0,0,-0.358156
0,0,2,0,2,0,0,0,0,0,0,1,-2.053156
0,0,2,0,1,0,1,0,0,0,1,0,-2.503906
0,0,2,0,0,0,2,0,0,1,0,0,-2.286086
0,0,2,0,1,1,0,0,1,0,0,0,-2.031036
0,0,1,1,1,0,1,0,0,0,1,0,-0.973956
0,0,1,1,2,0,0,0,0,0,1,0,-0.690386
0,0,1,1,0,1,0,1,0,0,0,1,-0.574336
0,0,1,1,1,0,0,1,0,1,0,0,-0.238706
0,0,0,2,0,0,2,0,1,0,0,0,0.056244
0,0,0,2,0,0,2,0,0,1,0,0,0.237634
0,0,0,2,0,1,1,0,0,1,0,0,-0.003116
0,0,0,2,1,0,1,0,0,1,0,0,0.230654
