Cu1,Mn1,Ni1,Zn1,Cu2,Mn2,Ni2,Zn2,Cu3,Mn3,Ni3,Zn3,E_ads
0,2,0,0,1,0,1,0,0,1,0,0,-1.271024
0,2,0,0,2,0,0,0,0,0,0,1,-1.270664
0,2,0,0,0,0,2,0,0,1,0,0,-1.288614
0,2,0,0,0,1,1,0,1,0,0,0,-1.352804
1,1,0,0,0,2,0,0,1,0,0,0,-0.833904
1,1,0,0,0,2,0,0,0,1,0,0,-0.839504
1,1,0,0,0,0,2,0,0,1,0,0,-0.828254
1,1,0,0,0,1,1,0,0,1,0,0,-0.792474
0,1,1,0,0,1,0,1,0,0,0,1,-0.884054
0,1,1,0,1,0,0,1,0,0,0,1,-0.794524
0,1,1,0,0,2,0,0,0,0,0,1,-0.989644
0,1,1,0,2,0,0,0,0,0,0,1,-0.878194
0,1,0,1,0,0,0,2,0,1,0,0,-0.702504
0,1,0,1,0,0,1,1,0,0,1,0,-0.746824
0,1,0,1,0,0,1,1,1,0,0,0,-0.679484
0,1,0,1,1,0,0,1,0,1,0,0,-0.697624
2,0,0,0,0,0,1,1,0,1,0,0,-0.446144
2,0,0,0,0,2,0,0,0,0,1,0,-0.518684
2,0,0,0,0,2,0,0,0,0,0,1,-0.466734
2,0,0,0,2,0,0,0,0,0,0,1,-0.520294
1,0,1,0,1,0,0,1,0,1,0,0,-0.484204
1,0,1,0,1,0,0,1,0,0,0,1,-0.550644
1,0,1,0,0,2,0,0,0,1,0,0,-0.487014
1,0,1,0,0,2,0,0,0,0,1,0,-0.665664
1,0,0,1,1,0,1,0,0,0,1,0,-0.617704
1,0,0,1,1,1,0,0,0,0,0,1,-0.464614
1,0,0,1,1,0,1,0,0,0,0,1,-0.465344
1,0,0,1,0,0,2,0,1,0,0,0,-0.578454
0,0,2,0,2,0,0,0,0,0,0,1,-1.445034
0,0,2,0,1,0,1,0,0,0,1,0,-1.701674
0,0,2,0,0,0,2,0,0,1,0,0,-1.487174
0,0,2,0,1,1,0,0,1,0,0,0,-1.429034
0,0,1,1,1,0,1,0,0,0,1,0,-1.273384
0,0,1,1,2,0,0,0,0,0,1,0,-1.200814
0,0,1,1,0,1,0,1,0,0,0,1,-0.927114
0,0,1,1,1,0,0,1,0,1,0,0,-0.819564
0,0,0,2,0,0,2,0,1,0,0,0,-0.176604
0,0,0,2,0,0,2,0,0,1,0,0,-0.189264
0,0,0,2,0,1,1,0,0,1,0,0,-0.092434
0,0,0,2,1,0,1,0,0,1,0,0,-0.183194
