Cu1,Mn1,Ni1,Zn1,Cu2,Mn2,Ni2,Zn2,Cu3,Mn3,Ni3,Zn3,E_ads
0,3,0,0,0,0,1,2,0,0,0,1,-1.3401663
0,3,0,0,0,0,2,1,0,0,1,0,-1.4059563
0,0,0,3,0,3,0,0,0,1,0,0,0.4825837
0,3,0,0,0,1,2,0,0,1,0,0,-1.3746163
0,3,0,0,1,1,0,1,1,0,0,0,-1.2775463
1,2,0,0,2,0,1,0,1,0,0,0,-1.1610863
1,2,0,0,1,0,1,1,0,1,0,0,-1.0600763
1,2,0,0,2,1,0,0,0,1,0,0,-1.0255363
1,2,0,0,3,0,0,0,0,0,0,1,-1.1104863
0,2,1,0,1,0,0,2,0,0,0,1,-1.2342263
0,2,1,0,0,2,1,0,0,0,1,0,-1.2296863
0,0,0,3,1,1,1,0,0,0,0,1,0.4063537
0,2,1,0,1,0,1,1,0,1,0,0,-1.1422063
0,2,1,0,1,0,0,2,1,0,0,0,-1.1849863
0,2,0,1,2,0,1,0,0,0,0,1,-0.9818063
0,2,0,1,0,1,2,0,0,0,0,1,-1.0095963
0,2,0,1,0,2,0,1,0,1,0,0,-0.8449163
0,2,0,1,0,0,3,0,0,0,1,0,-1.1648363
2,1,0,0,0,0,3,0,0,0,0,1,-1.0886863
0,0,0,3,2,0,0,1,1,0,0,0,0.2178337
2,1,0,0,0,0,1,2,0,0,1,0,-1.0842163
2,1,0,0,1,1,0,1,0,1,0,0,-0.6896063
2,1,0,0,0,0,0,3,0,1,0,0,-0.8046363
1,1,1,0,1,2,0,0,1,0,0,0,-1.0064663
1,1,1,0,0,2,0,1,0,1,0,0,-0.8569763
1,1,1,0,0,1,1,1,0,0,0,1,-1.0559763
1,1,1,0,0,3,0,0,0,1,0,0,-0.8665763
1,1,0,1,2,1,0,0,0,0,0,1,-0.7453463
0,0,0,3,1,0,1,1,0,0,0,1,0.2904437
1,1,0,1,0,0,1,2,0,1,0,0,-0.5968963
1,1,0,1,0,0,1,2,1,0,0,0,-0.7564363
1,1,0,1,1,1,1,0,0,0,1,0,-0.7634363
0,1,2,0,2,0,0,1,0,0,0,1,-1.3323763
0,1,2,0,0,0,1,2,0,1,0,0,-1.2317063
0,1,2,0,1,0,2,0,0,0,0,1,-1.5493863
0,1,2,0,2,0,1,0,0,0,0,1,-1.4865363
0,0,0,3,0,0,1,2,0,1,0,0,0.3972337
0,1,1,1,0,1,0,2,1,0,0,0,-0.8742363
0,1,1,1,1,0,1,1,0,1,0,0,-0.7648563
0,1,1,1,0,2,1,0,0,1,0,0,-0.6782363
0,1,1,1,0,1,1,1,1,0,0,0,-0.8548663
0,1,0,2,0,0,3,0,1,0,0,0,-0.7421163
0,1,0,2,3,0,0,0,0,0,1,0,-0.6083463
0,1,0,2,1,0,0,2,1,0,0,0,-0.6902863
0,1,0,2,1,1,0,1,0,0,0,1,-0.5997163
3,0,0,0,0,3,0,0,1,0,0,0,-0.6263363
0,0,0,3,1,0,2,0,1,0,0,0,0.3977637
3,0,0,0,1,2,0,0,1,0,0,0,-0.7051463
3,0,0,0,2,0,1,0,1,0,0,0,-1.0432463
3,0,0,0,1,2,0,0,0,0,1,0,-0.7392663
2,0,1,0,2,1,0,0,0,0,1,0,-1.2270363
2,0,1,0,1,0,2,0,0,1,0,0,-1.2150963
2,0,1,0,0,3,0,0,1,0,0,0,-0.9216763
2,0,1,0,1,1,1,0,1,0,0,0,-1.2374863
2,0,0,1,1,0,0,2,0,0,1,0,-0.5773563
0,0,0,3,1,0,2,0,0,0,1,0,0.4421237
2,0,0,1,0,1,1,1,0,0,1,0,-0.5350363
2,0,0,1,0,3,0,0,1,0,0,0,-0.3534963
2,0,0,1,0,2,0,1,0,0,0,1,-0.5334263
1,0,2,0,1,0,2,0,0,0,1,0,-1.7662763
1,0,2,0,0,1,0,2,0,0,0,1,-1.2058463
1,0,2,0,0,0,0,3,1,0,0,0,-1.3185563
1,0,2,0,2,0,0,1,1,0,0,0,-1.4993563
1,0,1,1,2,0,0,1,0,1,0,0,-0.7751963
0,0,0,3,0,0,3,0,0,1,0,0,-0.5922963
1,0,1,1,1,0,2,0,1,0,0,0,-1.0949863
1,0,1,1,1,2,0,0,0,0,0,1,-0.7211763
1,0,1,1,1,0,1,1,0,0,0,1,-0.9803063
1,0,0,2,3,0,0,0,1,0,0,0,-0.4613563
1,0,0,2,1,2,0,0,0,0,1,0,-0.1738063
1,0,0,2,0,0,2,1,1,0,0,0,-0.4530463
1,0,0,2,0,1,2,0,0,0,1,0,-0.3933963
0,0,0,3,1,1,1,0,0,0,1,0,-0.1143763
0,0,3,0,1,2,0,0,1,0,0,0,-1.5606763
0,0,3,0,1,2,0,0,0,0,0,1,-1.4643863
0,0,3,0,0,0,0,3,0,1,0,0,-1.3657063
0,0,3,0,0,0,2,1,0,0,0,1,-1.7409863
0,0,2,1,0,0,1,2,0,0,1,0,-1.2290063
0,0,2,1,2,0,1,0,1,0,0,0,-1.3054663
0,0,0,3,0,0,2,1,0,1,0,0,-0.1185363
0,0,2,1,1,0,2,0,1,0,0,0,-1.3696463
0,0,2,1,0,1,1,1,0,1,0,0,-0.9016963
0,0,1,2,0,1,2,0,0,0,1,0,-0.7199163
0,0,1,2,0,1,1,1,0,1,0,0,-0.4038763
0,0,1,2,3,0,0,0,0,1,0,0,-0.5923963
0,0,1,2,3,0,0,0,0,0,1,0,-0.8381063
0,0,0,3,1,0,1,1,0,0,1,0,-0.2393063
0,0,0,3,0,0,2,1,1,0,0,0,-0.2272263
0,0,0,3,3,0,0,0,1,0,0,0,-0.3640863
